Website section,Exact claim or implied claim,Claim type,Technology/system involved,Chemicals/materials involved,Unit operations involved,Bottleneck involved,Readiness/manufacturing issue involved,Needed evidence type,Evidence status,Best available sources,Source quality rating,Confidence level,Notes on uncertainty,Suggested revised wording if too strong
Overall thesis,"Frontier technologies do not become real through invention alone; they require scalable process systems, manufacturing systems, QA, utilities, supply chains, safety, and infrastructure.",design/philosophy claim + engineering inference,,,,,,"Chemical engineering, process intensification, manufacturing, and readiness framework sources",Supported as framing,"National Academies of Sciences, Engineering, and Medicine. 2022. New Directions for Chemical Engineering. (https://www.nationalacademies.org/read/26342/chapter/2) | National Academies of Sciences, Engineering, and Medicine. 2020. Deployment of Deep Decarbonization Technologies. (https://www.nationalacademies.org/read/25656/chapter/6) | RAPID Manufacturing Institute / AIChE. Rapid Advancement in Process Intensification Deployment. (https://rapid.aiche.org/) | U.S. Department of Energy. 2022. Industrial Decarbonization Roadmap. (https://www.osti.gov/biblio/1961393) | National Academies of Sciences, Engineering, and Medicine. 2024. Options for a National Plan for Smart Manufacturing. (https://www.nationalacademies.org/publications/27260)",Tier 1 preferred; Tier 2 supplemental,Medium-High,"Supported as a cross-domain engineering lens, not as a quantitative law.","Frontier technologies usually require scalable process systems, manufacturing, QA, utilities, supply chains, safety, and infrastructure before broad deployment."
Readiness frameworks,"A promising prototype can have a high technical-readiness narrative while still facing manufacturing, integration, reliability, and infrastructure readiness gaps.",readiness/economics claim,,,,,,"TRL, MRL, IRL sources",Supported,"NASA. 2023. Technology Readiness Levels. (https://www.nasa.gov/directorates/somd/space-communications-navigation-program/technology-readiness-levels/) | U.S. Government Accountability Office. 2020. Technology Readiness Assessment Guide, GAO-20-48G. (https://www.gao.gov/assets/gao-20-48g.pdf) | U.S. Department of Defense. 2016. Manufacturing Readiness Level Deskbook, version 2.5. (https://dodmrl.com/workshop2016/MRL_Deskbook_V2.5%20September%202016.pdf) | Fernandez, J. A. 2010. Contextual Role of TRLs and MRLs in Technology Management. Sandia National Laboratories / OSTI. (https://www.osti.gov/servlets/purl/1002093) | Sauser, B., et al. 2009. Defining an Integration Readiness Level for Defense Acquisition. INCOSE / Systems Engineering context. (https://web.mst.edu/lib-circ/files/special%20collections/INCOSE/Defining%20an%20Integration%20Readiness%20Level%20for%20Defense%20Aquisition.pdf)",Tier 1 preferred; Tier 2 supplemental,High,"TRL/MRL/IRL frameworks directly support separating technical, manufacturing, and integration maturity.",Separate technical readiness from manufacturing and integration readiness.
Visible product vs hidden process system,"Visible products such as air taxis, smart buildings, fusion plants, vertical farms, artificial organs, and space habitats imply hidden process systems for materials, energy, fabrication, QA, maintenance, regulation, and infrastructure.",engineering inference,,,,,,Domain-specific infrastructure/manufacturing sources,Supported as cross-domain framing,"Federal Aviation Administration. 2023. Advanced Air Mobility Implementation Plan: Innovate28. (https://www.faa.gov/sites/faa.gov/files/AAM-I28-Implementation-Plan.pdf) | U.S. Department of Energy Building Technologies Office. 2023. Better Windows, Better Outcomes: How Electrochromics Improve Health, Productivity, and Efficiency. (https://www.energy.gov/sites/default/files/2023-12/bto-electrochromic-window-report-121123.pdf) | Fusion Energy Sciences Advisory Committee. 2020. Powering the Future: Fusion & Plasmas. (https://science.osti.gov/-/media/fes/fesac/pdf/2020/202012/FESAC_Report_2020_Powering_the_Future.pdf) | Dohlman, E., C. Weber, and Y. Lee. 2024. Trends, Insights, and Future Prospects for Production in Controlled Environment Agriculture and Agrivoltaics. USDA ERS. (https://ers.usda.gov/sites/default/files/_laserfiche/publications/108221/EIB-264.pdf) | Ikada, Y. 2006. Challenges in tissue engineering. Journal of the Royal Society Interface. (https://pmc.ncbi.nlm.nih.gov/articles/PMC1664655/) | NASA. 2025. Environmental Control and Life Support Systems (ECLSS). (https://www.nasa.gov/reference/environmental-control-and-life-support-systems-eclss/)",Tier 1 preferred; Tier 2 supplemental,Medium,Individual examples vary in maturity and need card-specific verification.,"Visible product concepts often depend on hidden process systems for materials, energy, fabrication, QA, maintenance, regulation, and infrastructure."
Atmospheric water harvesting,"Sorbent capture, regeneration/desorption, condensation, purification, and storage form a plausible PFD for atmospheric water harvesting; low humidity and energy demand are major constraints.",factual technical claim + process-flow assumption,Atmospheric water harvesting,,Adsorption; Heat exchange; Condensation; Filtration,Energy intensity; low-humidity performance; sorbent cost,Lab and prototype evidence; economics and field reliability require caution,Peer-reviewed AWH review/demonstration sources,"Supported, economics need caution","Ahrestani, Z., et al. 2023. An overview of atmospheric water harvesting methods. PMC / peer-reviewed review. (https://pmc.ncbi.nlm.nih.gov/articles/PMC10073925/) | Hanikel, N., Prévot, M. S., and Yaghi, O. M. 2020. MOF water harvesters. Nature Nanotechnology review context. (https://yaghi.berkeley.edu/pdfPublications/20MOFWaterHarvester.pdf) | Kim, H., et al. 2018. Adsorption-based atmospheric water harvesting device for arid climates. Nature Communications. (https://dspace.mit.edu/bitstreams/033e5912-c0bc-4914-abff-85923f31635e/download) | Ejeian, M., et al. 2021. Adsorption-based atmospheric water harvesting. Joule. (https://www.cell.com/joule/fulltext/S2542-4351(21)00178-1) | Chu, W., et al. 2024. Advancements in atmospheric water harvesting. Communications Engineering. (https://www.nature.com/articles/s44172-024-00324-y) | Wang, J., et al. 2023. Global water yield strategy for metal-organic-framework-based atmospheric water harvesting. Cell Reports Physical Science. (https://www.sciencedirect.com/science/article/pii/S2666386423005878)",Tier 1 preferred; Tier 2 supplemental,Medium-High,"Mechanisms are supported; economic competitiveness depends strongly on climate, sorbent, heat source, and system design.","Sorbent AWH can be represented as capture, regeneration, condensation, purification, and storage, but low humidity, heat input, sorbent durability, and cost constrain deployment."
Unit operations,"Separations, heat transfer, impurity control, deposition, recycle loops, process control, and QA often determine scale-up viability.",engineering inference,,,,,,"Separation, manufacturing, metrology, process-control sources",Supported as engineering lens,"Sholl, D. S.; Lively, R. P. 2016. Seven chemical separations to change the world. Nature 532, 435–437. DOI: 10.1038/532435a. (https://www.nature.com/articles/532435a) | U.S. Department of Energy. 2015. Bandwidth Study on Energy Use and Potential Energy Saving Opportunities in U.S. Chemical Manufacturing. (https://www.energy.gov/cmei/ito/articles/bandwidth-study-us-chemical-manufacturing) | National Institute of Standards and Technology. 2023. CHIPS Metrology Program. (https://www.nist.gov/chips/research-development-programs/metrology-program) | International Technology Roadmap for Semiconductors. 2015. Yield Enhancement. (https://www.semiconductors.org/wp-content/uploads/2018/06/5_2015-ITRS-2.0-Yield-Enhancement.pdf) | National Academies of Sciences, Engineering, and Medicine. 2024. Options for a National Plan for Smart Manufacturing. (https://www.nationalacademies.org/publications/27260) | Helu, M. M., et al. 2020. Connecting, Deploying, and Using the Smart Manufacturing Systems Test Bed. NIST. (https://www.nist.gov/publications/connecting-deploying-and-using-smart-manufacturing-systems-test-bed)",Tier 1 preferred; Tier 2 supplemental,Medium-High,Specific bottlenecks vary by domain.,"Across many frontier systems, scale-up is often controlled by separations, heat transfer, impurity control, deposition, recycle loops, process control, and QA."
Scale-up pathways,"Common deployment levers include better materials, cheaper clean energy, stronger separations, process control, modular manufacturing, reliability testing, supply-chain redesign, infrastructure deployment, QA systems, permitting, and cost-down through learning.",engineering inference,,,,,,Cross-domain roadmaps and manufacturing sources,Supported as cross-domain pattern,"National Academies of Sciences, Engineering, and Medicine. 2020. Deployment of Deep Decarbonization Technologies. (https://www.nationalacademies.org/read/25656/chapter/6) | RAPID Manufacturing Institute / AIChE. Rapid Advancement in Process Intensification Deployment. (https://rapid.aiche.org/) | International Energy Agency. 2025. Global Critical Minerals Outlook 2025. (https://www.iea.org/reports/global-critical-minerals-outlook-2025) | National Institute of Standards and Technology. 2023. CHIPS Metrology Program. (https://www.nist.gov/chips/research-development-programs/metrology-program) | Sholl, D. S.; Lively, R. P. 2016. Seven chemical separations to change the world. Nature 532, 435–437. DOI: 10.1038/532435a. (https://www.nature.com/articles/532435a) | U.S. Department of Energy. 2022. Industrial Decarbonization Roadmap. (https://www.osti.gov/biblio/1961393)",Tier 1 preferred; Tier 2 supplemental,Medium,This is a synthesis across sources; each domain needs its own evidence.,"Common deployment levers often include materials, clean energy, separations, process control, modularity, reliability testing, supply chains, infrastructure, QA, permitting, and cost-down through learning."
Chemical spine,Hydrogen is used as a recurring chemical/material node in future-system process architectures: ,factual technical claim + engineering inference,,Hydrogen,,,,"Production, supply-chain, emissions, and application sources",Starter sourced,International Energy Agency. 2024. Global Hydrogen Review 2024. (https://www.iea.org/reports/global-hydrogen-review-2024) | International Energy Agency. 2025. Global Hydrogen Review 2025. (https://www.iea.org/reports/global-hydrogen-review-2025) | U.S. Department of Energy. 2015. Bandwidth Study on Energy Use and Potential Energy Saving Opportunities in U.S. Chemical Manufacturing. (https://www.energy.gov/cmei/ito/articles/bandwidth-study-us-chemical-manufacturing),Tier 1 preferred; Tier 2 supplemental,Medium,"Starter sources support material relevance, but individual future-system links may need direct card evidence.",Use Hydrogen as a recurring material/chemical node where directly relevant to the card; avoid implying universal importance across all future systems.
Chemical spine,Carbon dioxide is used as a recurring chemical/material node in future-system process architectures: ,factual technical claim + engineering inference,,Carbon dioxide,,,,"Production, supply-chain, emissions, and application sources",Starter sourced,"International Energy Agency. 2024. Carbon Capture, Utilisation and Storage. (https://www.iea.org/energy-system/carbon-capture-utilisation-and-storage) | International Energy Agency. 2020. CCUS in Clean Energy Transitions. (https://www.iea.org/reports/ccus-in-clean-energy-transitions) | Driver, J. G., et al. 2024. Global decarbonization potential of CO2 mineralization in concrete materials. Nature Communications / PMC. (https://pmc.ncbi.nlm.nih.gov/articles/PMC11260098/)",Tier 1 preferred; Tier 2 supplemental,Medium,"Starter sources support material relevance, but individual future-system links may need direct card evidence.",Use Carbon dioxide as a recurring material/chemical node where directly relevant to the card; avoid implying universal importance across all future systems.
Chemical spine,Ammonia is used as a recurring chemical/material node in future-system process architectures: ,factual technical claim + engineering inference,,Ammonia,,,,"Production, supply-chain, emissions, and application sources",Starter sourced,International Energy Agency. 2021. Ammonia Technology Roadmap: Towards more sustainable nitrogen fertiliser production. (https://www.iea.org/reports/ammonia-technology-roadmap) | International Energy Agency. 2024. Global Hydrogen Review 2024. (https://www.iea.org/reports/global-hydrogen-review-2024),Tier 1 preferred; Tier 2 supplemental,Medium,"Starter sources support material relevance, but individual future-system links may need direct card evidence.",Use Ammonia as a recurring material/chemical node where directly relevant to the card; avoid implying universal importance across all future systems.
Chemical spine,Methanol is used as a recurring chemical/material node in future-system process architectures: ,factual technical claim + engineering inference,,Methanol,,,,"Production, supply-chain, emissions, and application sources",Starter sourced,"Ozkan, M., et al. 2024. Forging a sustainable sky: aviation e-fuels review. PMC / peer-reviewed review. (https://pmc.ncbi.nlm.nih.gov/articles/PMC10960063/) | U.S. Department of Energy. 2015. Bandwidth Study on Energy Use and Potential Energy Saving Opportunities in U.S. Chemical Manufacturing. (https://www.energy.gov/cmei/ito/articles/bandwidth-study-us-chemical-manufacturing)",Tier 1 preferred; Tier 2 supplemental,Medium,"Starter sources support material relevance, but individual future-system links may need direct card evidence.",Use Methanol as a recurring material/chemical node where directly relevant to the card; avoid implying universal importance across all future systems.
