Card ID,Card name,Category,Evidence posture,Source count shown,Tier 1 count,Tier 2 count,Source groups,Caution flag,Evidence note,Recommended claim wording
fusion-power-plants,Fusion power plants,Clean Energy Civilization,Roadmap / early-stage sourced,12,12,0,Atmospheric water harvesting; Chemical spine; Clean fuels and artificial photosynthesis; Energy storage; Fusion; Overall thesis,Medium caution,"Sources support active research, demonstrations, agency roadmaps, or early deployment pathways. Scale, economics, reliability, and infrastructure remain major unresolved gates.","Frame as active research, demonstration, or roadmap-stage; keep scale/cost/timeline claims qualified."
space-based-solar-power,Space-based solar power,Clean Energy Civilization,Roadmap / early-stage sourced,12,12,0,Chemical spine; Clean fuels and artificial photosynthesis; Energy storage; Manufacturing / QA; Overall thesis; Space-based solar power,Medium caution,"Sources support active research, demonstrations, agency roadmaps, or early deployment pathways. Scale, economics, reliability, and infrastructure remain major unresolved gates.","Frame as active research, demonstration, or roadmap-stage; keep scale/cost/timeline claims qualified."
direct-air-capture-cities,Direct air capture cities,Carbon and Atmospheric Engineering,Direct starter set,12,12,0,Atmospheric water harvesting; Carbon systems; Carbon-negative concrete; Industrial decarbonization; Overall thesis; Space systems; Unit operations,Normal caution,"This card has direct starter citations for the process route, bottlenecks, and readiness caveats. Claims still need claim-level checking before publication.","Use as starter-sourced process framing; verify specific numbers, timelines, and economics claim-by-claim."
synthetic-fuel-from-air-and-water,Synthetic fuel from air and water,Carbon and Atmospheric Engineering,Direct starter set,12,12,0,Carbon systems; Chemical spine; Industrial decarbonization; Overall thesis; Synthetic fuels; Unit operations,Normal caution,"This card has direct starter citations for the process route, bottlenecks, and readiness caveats. Claims still need claim-level checking before publication.","Use as starter-sourced process framing; verify specific numbers, timelines, and economics claim-by-claim."
green-hydrogen-cities,Green hydrogen cities,Clean Energy Civilization,Direct starter set,12,12,0,Atmospheric water harvesting; Chemical spine; Clean fuels and artificial photosynthesis; Energy storage; Overall thesis; Space systems; Unit operations,Normal caution,"This card has direct starter citations for the process route, bottlenecks, and readiness caveats. Claims still need claim-level checking before publication.","Use as starter-sourced process framing; verify specific numbers, timelines, and economics claim-by-claim."
green-ammonia-fuel,Green ammonia fuel,Clean Energy Civilization,Direct starter set,12,12,0,Carbon systems; Carbon-negative concrete; Chemical spine; Clean fuels and artificial photosynthesis; Energy storage; Industrial decarbonization; Overall thesis; Unit operations,Normal caution,"This card has direct starter citations for the process route, bottlenecks, and readiness caveats. Claims still need claim-level checking before publication.","Use as starter-sourced process framing; verify specific numbers, timelines, and economics claim-by-claim."
carbon-negative-concrete,Carbon-negative concrete,Carbon and Atmospheric Engineering,Direct starter set,12,12,0,Carbon systems; Carbon-negative concrete; Industrial decarbonization; Overall thesis; Space systems,Normal caution,"This card has direct starter citations for the process route, bottlenecks, and readiness caveats. Claims still need claim-level checking before publication.","Use as starter-sourced process framing; verify specific numbers, timelines, and economics claim-by-claim."
low-carbon-steel,Low-carbon steel,Carbon and Atmospheric Engineering,Direct starter set,12,12,0,Atmospheric water harvesting; Carbon systems; Carbon-negative concrete; Chemical spine; Industrial decarbonization; Overall thesis; Unit operations,Normal caution,"This card has direct starter citations for the process route, bottlenecks, and readiness caveats. Claims still need claim-level checking before publication.","Use as starter-sourced process framing; verify specific numbers, timelines, and economics claim-by-claim."
carbon-negative-plastics,Carbon-negative plastics,Carbon and Atmospheric Engineering,Direct starter set,12,12,0,Carbon systems; Carbon-negative concrete; Industrial decarbonization; Overall thesis; Space systems; Synthetic fuels; Unit operations,Normal caution,"This card has direct starter citations for the process route, bottlenecks, and readiness caveats. Claims still need claim-level checking before publication.","Use as starter-sourced process framing; verify specific numbers, timelines, and economics claim-by-claim."
industrial-waste-heat-networks,Industrial waste-heat networks,Clean Energy Civilization,Direct starter set,12,12,0,Atmospheric water harvesting; Chemical spine; Clean fuels and artificial photosynthesis; Energy storage; Industrial decarbonization; Overall thesis; Space systems; Synthetic fuels; Unit operations,Normal caution,"This card has direct starter citations for the process route, bottlenecks, and readiness caveats. Claims still need claim-level checking before publication.","Use as starter-sourced process framing; verify specific numbers, timelines, and economics claim-by-claim."
